primary_label,inat_taxon_id,scientific_name,common_name,class_name,label_id,class_id
326272,326272,Physalaemus biligonigerus,Weeping Frog,Amphibia,26,0
41970,41970,Panthera onca,Jaguar,Mammalia,27,3
43435,43435,Alouatta caraya,Black Howling Monkey,Mammalia,28,3
47144,47144,Canis familiaris,Domestic Dog,Mammalia,29,3
47158son01,47158,Insect son01,Insect sonotype01,Insecta,30,2
47158son02,47158,Insect son02,Insect sonotype02,Insecta,31,2
47158son03,47158,Insect son03,Insect sonotype03,Insecta,32,2
47158son04,47158,Insect son04,Insect sonotype04,Insecta,33,2
47158son05,47158,Insect son05,Insect sonotype05,Insecta,34,2
47158son06,47158,Insect son06,Insect sonotype06,Insecta,35,2
47158son07,47158,Insect son07,Insect sonotype07,Insecta,36,2
47158son08,47158,Insect son08,Insect sonotype08,Insecta,37,2
47158son09,47158,Insect son09,Insect sonotype09,Insecta,38,2
47158son10,47158,Insect son10,Insect sonotype10,Insecta,39,2
47158son11,47158,Insect son11,Insect sonotype11,Insecta,40,2
47158son12,47158,Insect son12,Insect sonotype12,Insecta,41,2
47158son13,47158,Insect son13,Insect sonotype13,Insecta,42,2
47158son14,47158,Insect son14,Insect sonotype14,Insecta,43,2
47158son15,47158,Insect son15,Insect sonotype15,Insecta,44,2
47158son16,47158,Insect son16,Insect sonotype16,Insecta,45,2
47158son17,47158,Insect son17,Insect sonotype17,Insecta,46,2
47158son18,47158,Insect son18,Insect sonotype18,Insecta,47,2
47158son19,47158,Insect son19,Insect sonotype19,Insecta,48,2
47158son20,47158,Insect son20,Insect sonotype20,Insecta,49,2
47158son21,47158,Insect son21,Insect sonotype21,Insecta,50,2
47158son22,47158,Insect son22,Insect sonotype22,Insecta,51,2
47158son23,47158,Insect son23,Insect sonotype23,Insecta,52,2
47158son24,47158,Insect son24,Insect sonotype24,Insecta,53,2
47158son25,47158,Insect son25,Insect sonotype25,Insecta,54,2
476521,476521,Physalaemus nattereri,Cuyaba Dwarf Frog,Amphibia,55,0
516975,516975,Sapajus cay,Hooded Capuchin,Mammalia,56,3
517063,517063,Pithecopus azureus,Southern Orange-legged Leaf Frog,Amphibia,57,0
555123,555123,Boana lundii,Usina Tree Frog,Amphibia,58,0
555145,555145,Boana punctata,Polka-dot Tree Frog,Amphibia,59,0
555146,555146,Boana raniceps,Chaco Tree Frog,Amphibia,60,0
64898,64898,Ameerega picta,Yungas de la Paz Poison Frog,Amphibia,61,0
65377,65377,Dendropsophus minutus,Lesser Tree Frog,Amphibia,62,0
65380,65380,Dendropsophus nanus,Dwarf Tree Frog,Amphibia,63,0
66971,66971,Pseudis platensis,Paraguayan Swimming Frog,Amphibia,64,0
67107,67107,Rhinella diptycha,Rococo Toad,Amphibia,65,0
67252,67252,Trachycephalus typhonius,Milk Frog,Amphibia,66,0
70711,70711,Leptodactylus macrosternum,Cei's White-lipped Frog,Amphibia,67,0
738183,738183,Plecturocebus pallescens,White-coated Titi,Mammalia,68,3
74113,74113,Bos taurus,Highland,Mammalia,69,3
74580,74580,Mico melanurus,Black-tailed Marmoset,Mammalia,70,3
760266,760266,Prionacris erosa,Prionacris erosa,Insecta,71,2
ashgre1,17431,Hylophilus pectoralis,Ashy-headed Greenlet,Aves,72,1
astcra1,508907,Mustelirallus albicollis,Ash-throated Crake,Aves,73,1
bafcur1,2046,Crax fasciolata,Bare-faced Curassow,Aves,74,1
baffal1,4699,Micrastur ruficollis,Barred Forest-Falcon,Aves,75,1
banana,10199,Coereba flaveola,Bananaquit,Aves,76,1
barant1,15764,Thamnophilus doliatus,Barred Antshrike,Aves,77,1
batbel1,8854,Procnias nudicollis,Bare-throated Bellbird,Aves,78,1
baymac,19018,Ara ararauna,Blue-and-yellow Macaw,Aves,79,1
bbwduc,6893,Dendrocygna autumnalis,Black-bellied Whistling Duck,Aves,80,1
bcwfin2,558564,Microspingus melanoleucus,Black-capped Warbling Finch,Aves,81,1
bkcdon,116877,Donacobius atricapilla,Black-capped Donacobius,Aves,82,1
bkhpar,367562,Aratinga nenday,Nanday Parakeet,Aves,83,1
blchaw1,5346,Busarellus nigricollis,Black-collared Hawk,Aves,84,1
blheag1,5291,Spizaetus tyrannus,Black Hawk-Eagle,Aves,85,1
blttit1,8830,Tityra cayana,Black-tailed Tityra,Aves,86,1
bncfly,16016,Myiarchus tyrannulus,Brown-crested Flycatcher,Aves,87,1
bobfly1,16737,Megarynchus pitangua,Boat-billed Flycatcher,Aves,88,1
brcmar1,11870,Progne tapera,Brown-chested Martin,Aves,89,1
brnowl,1578502,Tyto furcata,American Barn Owl,Aves,90,1
bucmot4,204447,Momotus momota,Amazonian Motmot,Aves,91,1
bucpar,367564,Thectocercus acuticaudatus,Blue-crowned Parakeet,Aves,92,1
bufpar,18978,Amazona aestiva,Turquoise-fronted Amazon,Aves,93,1
bunibi1,3766,Theristicus caudatus,Buff-necked Ibis,Aves,94,1
burowl,19975,Athene cunicularia,Burrowing Owl,Aves,95,1
camfli1,18262,Colaptes campestris,Campo Flicker,Aves,96,1
chacha1,2088,Ortalis canicollis,Chaco Chachalaca,Aves,97,1
chbmoc1,14878,Mimus saturninus,Chalk-browed Mockingbird,Aves,98,1
chobla1,10723,Gnorimopsar chopi,Chopi Blackbird,Aves,99,1
chvcon1,10013,Conirostrum speciosum,Chestnut-vented Conebill,Aves,100,1
cibspi1,10921,Synallaxis hypospodia,Cinereous-breasted Spinetail,Aves,101,1
coffal1,4698,Micrastur semitorquatus,Collared Forest-Falcon,Aves,102,1
compau,19627,Nyctidromus albicollis,Pauraque,Aves,103,1
compot1,19667,Nyctibius griseus,Common Potoo,Aves,104,1
crbthr1,12710,Turdus amaurochalinus,Creamy-bellied Thrush,Aves,105,1
crebec1,8681,Pachyramphus validus,Crested Becard,Aves,106,1
dwatin1,20714,Taoniscus nanus,Dwarf Tinamou,Aves,107,1
epaori4,72954,Icterus pyrrhopterus,Variable Oriole,Aves,108,1
eulfly1,17231,Lathrotriccus euleri,Euler's Flycatcher,Aves,109,1
fabwre1,144880,Cantorchilus guarayanus,Fawn-breasted Wren,Aves,110,1
fepowl,19822,Glaucidium brasilianum,Ferruginous Pygmy Owl,Aves,111,1
ficman1,14344,Machaeropterus pyrocephalus,Fiery-capped Manakin,Aves,112,1
flawar1,201223,Myiothlypis flaveola,Flavescent Warbler,Aves,113,1
fotfly,16793,Tyrannus savana,Fork-tailed Flycatcher,Aves,114,1
fusfly1,17076,Cnemotriccus fuscatus,Fuscous Flycatcher,Aves,115,1
gilhum1,5979,Hylocharis chrysura,Gilded Hummingbird,Aves,116,1
giwrai1,460,Aramides ypecaha,Giant Wood Rail,Aves,117,1
glteme1,1289639,Chionomesa fimbriata,Glittering-throated Emerald,Aves,118,1
grasal3,9850,Saltator coerulescens,Bluish-grey Saltator,Aves,119,1
greani1,1970,Crotophaga major,Greater Ani,Aves,120,1
greant1,15957,Taraba major,Great Antshrike,Aves,121,1
greela,16892,Myiopagis viridicata,Greenish Elaenia,Aves,122,1
grekis,16956,Pitangus sulphuratus,Great Kiskadee,Aves,123,1
grepot1,19680,Nyctibius grandis,Great Potoo,Aves,124,1
gretho2,11632,Phacellodomus ruber,Greater Thornbird,Aves,125,1
greyel,3892,Tringa melanoleuca,Greater Yellowlegs,Aves,126,1
grfdov1,3302,Leptotila rufaxilla,Grey-fronted Dove,Aves,127,1
grhtan1,10698,Eucometis penicillata,Grey-headed Tanager,Aves,128,1
gycwor1,513889,Aramides cajaneus,Grey-cowled Wood Rail,Aves,129,1
horscr1,6908,Anhima cornuta,Horned Screamer,Aves,130,1
houspa,13858,Passer domesticus,House Sparrow,Aves,131,1
hyamac1,18938,Anodorhynchus hyacinthinus,Hyacinth Macaw,Aves,132,1
larela1,16734,Elaenia spectabilis,Large Elaenia,Aves,133,1
lesela1,578460,Elaenia chiriquensis,Lesser Elaenia,Aves,134,1
lesgrf1,10555,Emberizoides ypiranganus,Lesser Grass-Finch,Aves,135,1
limpki,7,Aramus guarauna,Limpkin,Aves,136,1
linwoo1,17858,Dryocopus lineatus,Lineated Woodpecker,Aves,137,1
litcuc2,72740,Coccycua minuta,Little Cuckoo,Aves,138,1
litnig1,367507,Setopagis parvula,Little Nightjar,Aves,139,1
mabpar,19162,Pyrrhura frontalis,Maroon-bellied Parakeet,Aves,140,1
magant1,15737,Cercomacra melanaria,Mato Grosso Antbird,Aves,141,1
magtan2,72727,Cissopis leverianus,Magpie Tanager,Aves,142,1
masgna1,7509,Polioptila dumicola,Masked Gnatcatcher,Aves,143,1
nacnig1,19661,Chordeiles nacunda,Nacunda Nighthawk,Aves,144,1
ocecra1,1506288,Rufirallus schomburgkii,Ocellated Crake,Aves,145,1
oliwoo1,11511,Sittasomus griseicapillus,Olivaceous Woodcreeper,Aves,146,1
orbtro3,62564,Icterus croconotus,Orange-backed Troupial,Aves,147,1
orwpar,18982,Amazona amazonica,Orange-winged Amazon,Aves,148,1
osprey,116999,Pandion haliaetus,Osprey,Aves,149,1
pabspi1,10999,Synallaxis albescens,Pale-breasted Spinetail,Aves,150,1
palhor3,11281,Furnarius leucopus,Pale-legged Hornero,Aves,151,1
paltan1,10297,Thraupis palmarum,Palm Tanager,Aves,152,1
phecuc1,1982,Dromococcyx phasianellus,Pheasant Cuckoo,Aves,153,1
picpig2,3102,Patagioenas picazuro,Picazuro Pigeon,Aves,154,1
pirfly1,17312,Legatus leucophaius,Piratic Flycatcher,Aves,155,1
plasla1,73493,Thamnophilus pelzelni,Planalto Slaty Antshrike,Aves,156,1
platyr1,16344,Inezia inornata,Plain Inezia,Aves,157,1
plcjay1,8484,Cyanocorax chrysops,Plush-crested Jay,Aves,158,1
pluibi1,3768,Theristicus caerulescens,Plumbeous Ibis,Aves,159,1
purjay1,8483,Cyanocorax cyanomelas,Purplish Jay,Aves,160,1
pvttyr1,16273,Hemitriccus margaritaceiventer,Pearly-vented Tody-Tyrant,Aves,161,1
ragmac1,19016,Ara chloropterus,Red-and-green Macaw,Aves,162,1
rebscy1,11201,Campylorhamphus trochilirostris,Red-billed Scythebill,Aves,163,1
recfin1,10310,Coryphospingus cucullatus,Red-crested Finch,Aves,164,1
redjun,882,Gallus gallus,Red Junglefowl,Aves,165,1
relser1,14,Cariama cristata,Red-legged Seriema,Aves,166,1
rinkin1,2552,Megaceryle torquata,Ringed Kingfisher,Aves,167,1
rivwar1,145267,Myiothlypis rivularis,Riverbank Warbler,Aves,168,1
roahaw,201041,Rupornis magnirostris,Roadside Hawk,Aves,169,1
rubthr1,12738,Turdus rufiventris,Rufous-bellied Thrush,Aves,170,1
rufcac2,11718,Pseudoseisura unirufa,Rufous Cacholote,Aves,171,1
rufcas2,17102,Casiornis rufus,Rufous Casiornis,Aves,172,1
rufgna3,578313,Conopophaga lineata,Rufous Gnateater,Aves,173,1
rufhor2,11275,Furnarius rufus,Rufous Hornero,Aves,174,1
rufnig1,201066,Antrostomus rufus,Rufous Nightjar,Aves,175,1
ruftho1,11624,Phacellodomus rufifrons,Rufous-fronted Thornbird,Aves,176,1
ruftof1,17026,Poecilotriccus latirostris,Rusty-fronted Tody-Flycatcher,Aves,177,1
rumfly1,16833,Myiozetetes cayanensis,Rusty-margined Flycatcher,Aves,178,1
ruther1,5048,Tigrisoma lineatum,Rufescent Tiger Heron,Aves,179,1
rutjac1,1468,Galbula ruficauda,Rufous-tailed Jacamar,Aves,180,1
sabspa1,10064,Arremon flavirostris,Saffron-billed Sparrow,Aves,181,1
saffin,9864,Sicalis flaveola,Saffron Finch,Aves,182,1
saytan1,10293,Thraupis sayaca,Sayaca Tanager,Aves,183,1
scadov1,3564,Columbina squammata,Scaled Dove,Aves,184,1
schpar1,19094,Pionus maximiliani,Scaly-headed Parrot,Aves,185,1
scther1,5622,Phaethornis eurynome,Scale-throated Hermit,Aves,186,1
shcfly1,16006,Myiarchus ferox,Short-crested Flycatcher,Aves,187,1
shshaw,5097,Accipiter striatus,Sharp-shinned Hawk,Aves,188,1
shtnig1,19645,Lurocalis semitorquatus,Short-tailed Nighthawk,Aves,189,1
sibtan2,10056,Ramphocelus carbo,Silver-beaked Tanager,Aves,190,1
smbani,1971,Crotophaga ani,Smooth-billed Ani,Aves,191,1
smbtin1,20570,Crypturellus parvirostris,Small-billed Tinamou,Aves,192,1
sobcac1,10365,Cacicus solitarius,Solitary Cacique,Aves,193,1
sobtyr1,16972,Camptostoma obsoletum,Southern Beardless Tyrannulet,Aves,194,1
socfly1,16842,Myiozetetes similis,Social Flycatcher,Aves,195,1
sofspi1,10996,Synallaxis frontalis,Sooty-fronted Spinetail,Aves,196,1
souant1,17264,Corythopis delalandi,Southern Antpipit,Aves,197,1
soulap1,4867,Vanellus chilensis,Southern Lapwing,Aves,198,1
souscr1,6910,Chauna torquata,Southern Screamer,Aves,199,1
spbant3,15959,Hypoedaleus guttatus,Spot-backed Antshrike,Aves,200,1
spispi1,10915,Synallaxis spixi,Spix's Spinetail,Aves,201,1
sptnig1,1584760,Antiurus maculicaudus,Spot-tailed Nightjar,Aves,202,1
squcuc1,1758,Piaya cayana,Common Squirrel-Cuckoo,Aves,203,1
stbwoo2,72806,Dendroplex picus,Straight-billed Woodcreeper,Aves,204,1
strcuc1,1989,Tapera naevia,Striped Cuckoo,Aves,205,1
strher2,62528,Butorides striata,Striated Heron,Aves,206,1
strowl1,558468,Asio clamator,Striped Owl,Aves,207,1
swthum1,6065,Eupetomena macroura,Swallow-tailed Hummingbird,Aves,208,1
swtman1,14306,Chiroxiphia caudata,Swallow-tailed Manakin,Aves,209,1
tattin1,20587,Crypturellus tataupa,Tataupa Tinamou,Aves,210,1
thlwre1,7480,Campylorhynchus turdinus,Thrush-like Wren,Aves,211,1
toctou1,18793,Ramphastos toco,Toco Toucan,Aves,212,1
trokin,16787,Tyrannus melancholicus,Tropical Kingbird,Aves,213,1
trsowl,19788,Megascops choliba,Tropical Screech Owl,Aves,214,1
undtin1,20592,Crypturellus undulatus,Undulated Tinamou,Aves,215,1
varant1,15757,Thamnophilus caerulescens,Variable Antshrike,Aves,216,1
watjac1,4580,Jacana jacana,Wattled Jacana,Aves,217,1
wesfie1,1286886,Pyriglena maura,Western Fire-eye,Aves,218,1
wfwduc1,6898,Dendrocygna viduata,White-faced Whistling Duck,Aves,219,1
whbant2,15902,Biatas nigropectus,White-bearded Antshrike,Aves,220,1
whbwar2,201224,Myiothlypis leucoblephara,White-browed Warbler,Aves,221,1
whiwoo1,18183,Melanerpes candidus,White Woodpecker,Aves,222,1
whlspi1,10992,Synallaxis albilora,White-lored Spinetail,Aves,223,1
whnjay1,8469,Cyanocorax cyanopogon,White-naped Jay,Aves,224,1
whtdov,3280,Leptotila verreauxi,White-tipped Dove,Aves,225,1
whwpic1,17786,Picumnus albosquamatus,White-wedged Piculet,Aves,226,1
y00678,4715,Caracara plancus,Crested Caracara,Aves,227,1
yebcar,10257,Paroaria capitata,Yellow-billed Cardinal,Aves,228,1
yebela1,16714,Elaenia flavogaster,Yellow-bellied Elaenia,Aves,229,1
yecmac,73272,Primolius auricollis,Golden-collared Macaw,Aves,230,1
yecpar,19215,Brotogeris chiriri,Yellow-chevroned Parakeet,Aves,231,1
yehcar1,1432779,Daptrius chimachima,Yellow-headed Caracara,Aves,232,1
yeofly1,16567,Tolmomyias sulphurescens,Yellow-olive Flatbill,Aves,233,1
